symbol,name,summary,currency,sector,industry_group,industry,exchange,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi
ACN,Accenture plc,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",USD,Information Technology,Software & Services,IT Services,NYQ,New York Stock Exchange,Ireland,,Dublin,2,http://www.accenture.com,Mega Cap,IE00B4BNMY34,,BBG000D9DC22,BBG000D9D830,BBG001SCXK90
ACV,AllianzGI Diversified Income & Convertible Fund,"AllianzGI Diversified Income & Convertible Fund is a closed-ended balanced mutual fund launched and managed by Allianz Global Investors Fund Management LLC. The fund is co-managed by Allianz Global Investors U.S. LLC. It invests in the public equity and fixed income markets. The fund primarily invests in diversified portfolio of convertible securities, income-producing equity securities, and income-producing debt and other instruments of varying maturities. It employs fundamental analysis along with bottom-up stock picking approach. AllianzGI Diversified Income & Convertible was formed In May 27, 2015 and is domiciled in United States.",USD,Financials,Diversified Financials,Capital Markets,NYQ,New York Stock Exchange,United States,NY,New York,10019,,Micro Cap,DE0005110001,,,,
ADBE,Adobe Inc.,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",USD,Information Technology,Software & Services,Software,NMS,NASDAQ Global Select,United States,CA,San Jose,95110-2704,http://www.adobe.com,Mega Cap,,,,,
ADCT,ADC Therapeutics SA,"ADC Therapeutics SA, a clinical-stage oncology-focused biotechnology company, develops antibody drug conjugates (ADC) for patients suffering from hematological malignancies and solid tumors. Its lead product candidates are loncastuximab tesirine (ADCT-402), an ADC that is in a Phase II clinical trial for the treatment of relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and follicular lymphoma, and Phase III clinical trial in combination with rituximab to treat relapsed or refractory DLBCL, as well as Phase I/II clinical trial in combination with ibrutinib for relapsed or refractory DLBCL and mantle cell lymphoma; and camidanlumab tesirine (ADCT-301), an ADC that is in a pivotal Phase II clinical trial for the treatment of relapsed or refractory Hodgkin lymphoma and non-Hodgkin lymphoma, and Phase Ib clinical trial for selected advanced solid tumors. The company also develops clinical-stage product candidates, such as ADCT-601 that is in a Phase Ia clinical trial for the treatment of selected advanced tumors; and ADCT-602, and a Phase I/II clinical trial for relapsed or refractory acute lymphoblastic leukemia, as well as preclinical product candidates, including ADCT-701 and ADCT-901 for the treatment of selected advanced solid tumors. It has a collaboration and license agreement with Genmab A/S, Bergenbio AS, and Synaffix B.V. ADC Therapeutics SA was incorporated in 2011 and is headquartered in Epalinges, Switzerland.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NYQ,New York Stock Exchange,Switzerland,,Epalinges,1066,http://www.adctherapeutics.com,Small Cap,,,,,
ADI,"Analog Devices, Inc.","Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. The company serves clients in the industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was founded in 1965 and is headquartered in Wilmington, Massachusetts.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NMS,NASDAQ Global Select,United States,MA,Norwood,2062,http://www.analog.com,Large Cap,US0326541051,32654105,BBG000BB6RX0,BBG000BB6G37,BBG001S5ND38
ADM,Archer-Daniels-Midland Company,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal, as well as distillers' grains; and citric acids. Additionally, the company provides natural flavor ingredients, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant and insurance services. The company was founded in 1902 and is headquartered in Chicago, Illinois.",USD,Consumer Staples,Household & Personal Products,Household Products,NYQ,New York Stock Exchange,United States,IL,Chicago,60601,http://www.adm.com,Large Cap,US0394831020,39483102,BBG000BB7059,BBG000BB6WG8,BBG001S5ND74
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",USD,Industrials,Commercial & Professional Services,Professional Services,NMS,NASDAQ Global Select,United States,NJ,Roseland,7068,http://www.adp.com,Large Cap,US0530151036,53015103,BBG000JG1MT2,BBG000JG0547,BBG001S82KF6
ADS,Alliance Data Systems Corporation,"Alliance Data Systems Corporation provides data-driven marketing, loyalty, and payment solutions in the United States, Canada, Europe, the Middle East, Africa, the Asia Pacific, and internationally. It operates through two segments, LoyaltyOne and Card Services. The LoyaltyOne segment offers AIR MILES reward program; short term loyalty program; and loyalty services, which include loyalty consulting, customer analytics, creative services, and mobile solutions. The Card Services segment provides receivable financing services comprising underwriting and risk management, as well as receivables funding services, including comenity card, private label and co-brand credit card programs, and installment lending; processing services, such as new account processing, bill processing, remittance processing, and customer care; marketing services; and digital offerings, including Bread digital payments platform and enhanced digital suite. It serves clients across various end-markets, including financial services, specialty retail, grocery and drugstore chains, petroleum retail, home furnishing and hardware, beauty and jewelry, hospitality and travel, and telecommunications. Alliance Data Systems Corporation was founded in 1996 and is headquartered in Columbus, Ohio.",USD,Financials,Diversified Financials,Consumer Finance,NYQ,New York Stock Exchange,United States,OH,Columbus,43219,http://www.alliancedata.com,Mid Cap,DE000A1EWWW0,,,,
ADSK,"Autodesk, Inc.","Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry. In addition, the company offers PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time; Revit software for building information modeling; and BuildingConnected, a bid-management solution. Autodesk, Inc. sells its products and services to customers directly, as well as through a network of resellers and distributors. The company was founded in 1982 and is headquartered in San Rafael, California.",USD,Information Technology,Software & Services,Software,NMS,NASDAQ Global Select,United States,CA,San Rafael,94903,http://www.autodesk.com,Large Cap,US0527691069,52769106,BBG000BM7TD3,BBG000BM7HL0,BBG001S5SCD4
ADT,ADT Inc.,"ADT Inc. provides security, automation, and smart home solutions to consumer and business customers in the United States. It provides a range of fire detection, fire suppression, video surveillance, and access control systems to residential, commercial, and multi-site customers. The company primarily offers monitored security and automation solutions, including the installation and monitoring of security and premises automation systems designed to detect intrusion, control access, sense movement, smoke, fire, carbon monoxide, flooding, temperature, and other environmental conditions and hazards; and address personal emergencies, such as injuries, medical emergencies, or incapacitation. It also provides interactive and smart home solutions that allow customers to use their smart phones, tablets, and laptops to arm and disarm their security systems, adjust lighting or thermostat levels, and view real-time video of their premises; and create customized and automated schedules for managing lights, thermostats, appliances, garage doors, cameras, and other connected devices, as well as offers monitoring and maintenance services. The company offers its products under the ADT, ADT Pulse, Protection 1, ADT Commercial, and Blue by ADT names. As of December 31, 2020, it operated through a network of approximately 300 sales and service offices, 9 underwriter laboratories listed monitoring centers, 18 sales and customer and field support locations, 4 national sales call centers, and 3 regional distribution centers. The company was formerly known as Prime Security Services Parent, Inc. and changed its name to ADT Inc. in September 2017. ADT Inc. was founded in 1874 and is headquartered in Boca Raton, Florida.",USD,Industrials,Commercial & Professional Services,Professional Services,NYQ,New York Stock Exchange,United States,FL,Boca Raton,33431,http://www.adt.com,Mid Cap,US00090Q1031,00090Q103,BBG00JLZ5SD6,BBG000BP9WJ1,BBG001S6VGG6
AEE,Ameren Corporation,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. The company engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. It primarily generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, wind, methane gas, and solar. The company serves residential, commercial, and industrial customers. The company was founded in 1881 and is headquartered in St. Louis, Missouri.",USD,Utilities,Utilities,Electric Utilities,NYQ,New York Stock Exchange,United States,MO,Saint Louis,63103,http://www.ameren.com,Large Cap,AU000000AEE7,,,,
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, and hydroelectric, as well as solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company owns, leases, or controls approximately 3,016 railcars, 411 barges, 6 towboats, and a coal handling terminal with approximately 18 million tons of annual capacity. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",USD,Utilities,Utilities,Electric Utilities,NMS,NASDAQ Global Select,United States,OH,Columbus,43215-2373,http://www.aep.com,Large Cap,,,BBG000BB9X46,BBG000BB9KF2,BBG001S5NFD2
AES,The AES Corporation,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",USD,Utilities,Utilities,Multi-Utilities,NYQ,New York Stock Exchange,United States,VA,Arlington,22203,http://www.aes.com,Large Cap,,,BBG000C23NG0,BBG000C23KJ3,BBG001S6B1L5
